Date;Suburb;Location;Area;Maximum temperature (�C);Evaporation (mm)
12/1/23;Wanneroo;JANDABUP and MARIGINIUP;CITY OF WANNEROO;35.03.00;7,06
12/1/23;Mariginiup;JANDABUP and MARIGINIUP;CITY OF WANNEROO;37;14,02
12/1/23;Hamersley;HAMERSLEY RANGE;SHIRE OF ASHBURTON;35.03.00;7,06
12/1/23;Wanneroo;JANDABUP and MARIGINIUP;CITY OF WANNEROO;35.03.00;7,06
12/1/23;Mariginiup;JANDABUP and MARIGINIUP;CITY OF WANNEROO;37;14,02
12/1/23;Wanneroo;JANDABUP and MARIGINIUP;CITY OF WANNEROO;35.03.00;7,06
12/1/23;Mariginiup;JANDABUP and MARIGINIUP;CITY OF WANNEROO;37;14,02
12/1/23;Hamersley;HAMERSLEY RANGE;SHIRE OF ASHBURTON;35.03.00;7,06
12/8/23;Hamersley;HAMERSLEY RANGE;SHIRE OF ASHBURTON;24.07.00;7,04
12/8/23;Bullsbrook;BULLSBROOK;CITY OF SWAN;27.04.00;14,02
12/8/23;Bullsbrook;BULLSBROOK;CITY OF SWAN;27.04.00;14,02
12/8/23;Mandogalup;MANDOGALUP and ANKETELL;CITY OF KWINANA;26.00.00;14,02
12/8/23;The Spectacles;MANDOGALUP and ANKETELL;CITY OF KWINANA;26.00.00;14,02
12/8/23;Anketell;MANDOGALUP and ANKETELL;CITY OF KWINANA;26.00.00;14,02
12/8/23;Mandogalup;MANDOGALUP and ANKETELL;CITY OF KWINANA;26.00.00;14,02
12/8/23;The Spectacles;MANDOGALUP and ANKETELL;CITY OF KWINANA;26.00.00;14,02
12/8/23;Anketell;MANDOGALUP and ANKETELL;CITY OF KWINANA;26.00.00;14,02
12/8/23;Mandogalup;POSTANS, MANDOGALUP and ANKETELL;CITY OF KWINANA;26.00.00;14,02
12/8/23;The Spectacles;POSTANS, MANDOGALUP and ANKETELL;CITY OF KWINANA;26.00.00;14,02
12/8/23;Anketell;POSTANS, MANDOGALUP and ANKETELL;CITY OF KWINANA;26.00.00;14,02
12/8/23;Postans;POSTANS, MANDOGALUP and ANKETELL;CITY OF KWINANA;26.01.00;7,04
12/8/23;Mandogalup;POSTANS, MANDOGALUP and ANKETELL;CITY OF KWINANA;26.00.00;14,02
12/8/23;The Spectacles;POSTANS, MANDOGALUP and ANKETELL;CITY OF KWINANA;26.00.00;14,02
12/8/23;Anketell;POSTANS, MANDOGALUP and ANKETELL;CITY OF KWINANA;26.00.00;14,02
12/8/23;Postans;POSTANS, MANDOGALUP and ANKETELL;CITY OF KWINANA;26.01.00;7,04
12/15/23;Stratton;MIDDLE SWAN and STRATTON;CITY OF SWAN;33.08.00;10,08
12/15/23;Middle Swan;MIDDLE SWAN and STRATTON;CITY OF SWAN;33.08.00;10,08
12/15/23;Stratton;MIDDLE SWAN and STRATTON;CITY OF SWAN;33.08.00;10,08
12/15/23;Middle Swan;MIDDLE SWAN and STRATTON;CITY OF SWAN;33.08.00;10,08
12/15/23;Jindalee;JINDALEE;CITY OF WANNEROO;32.09.00;14,02
12/22/23;The Spectacles;POSTANS and THE SPECTACLES;CITY OF KWINANA;31.06.00;14,02
12/22/23;Postans;POSTANS and THE SPECTACLES;CITY OF KWINANA;31.08.00;12,06
12/22/23;Mundaring;PARKERVILLE;SHIRE OF MUNDARING;33.04.00;14,02
12/22/23;Parkerville;PARKERVILLE;SHIRE OF MUNDARING;36.07.00;14,02
12/22/23;The Spectacles;POSTANS and THE SPECTACLES;CITY OF KWINANA;31.06.00;14,02
12/22/23;Postans;POSTANS and THE SPECTACLES;CITY OF KWINANA;31.08.00;12,06
12/22/23;Mundaring;PARKERVILLE;SHIRE OF MUNDARING;33.04.00;14,02
12/22/23;Parkerville;PARKERVILLE;SHIRE OF MUNDARING;36.07.00;14,02
12/22/23;Mundaring;PARKERVILLE;SHIRE OF MUNDARING;33.04.00;14,02
12/22/23;Parkerville;PARKERVILLE;SHIRE OF MUNDARING;36.07.00;14,02
12/22/23;Gidgegannup;BAILUP, GIDGEGANNUP and WOOROLOO;CITY OF SWAN and the SHIRE OF MUNDARING;32.08.00;12,06
12/22/23;Wooroloo;BAILUP, GIDGEGANNUP and WOOROLOO;CITY OF SWAN and the SHIRE OF MUNDARING;32.08.00;12,06
12/22/23;Bailup;BAILUP, GIDGEGANNUP and WOOROLOO;CITY OF SWAN and the SHIRE OF MUNDARING;32.08.00;11,01
12/22/23;Mundaring;BAILUP, GIDGEGANNUP and WOOROLOO;CITY OF SWAN and the SHIRE OF MUNDARING;33.04.00;14,02
12/29/23;Gidgegannup;BAILUP, GIDGEGANNUP and WOOROLOO;CITY OF SWAN and the SHIRE OF MUNDARING;33;10,02
12/29/23;Wooroloo;BAILUP, GIDGEGANNUP and WOOROLOO;CITY OF SWAN and the SHIRE OF MUNDARING;33;10,02
12/29/23;Bailup;BAILUP, GIDGEGANNUP and WOOROLOO;CITY OF SWAN and the SHIRE OF MUNDARING;33;10,02
12/29/23;Mundaring;BAILUP, GIDGEGANNUP and WOOROLOO;CITY OF SWAN and the SHIRE OF MUNDARING;31.05.00;14,02
2/9/24;Guildford;ASCOT, PERTH AIRPORT, REDCLIFFE and SOUTH GUILDFORD;TOWN of BASSENDEAN and CITIES of BELMONT and SWAN;43.04.00;14,02
2/9/24;Belmont;ASCOT, PERTH AIRPORT, REDCLIFFE and SOUTH GUILDFORD;TOWN of BASSENDEAN and CITIES of BELMONT and SWAN;42;14,02
2/9/24;Ascot;ASCOT, PERTH AIRPORT, REDCLIFFE and SOUTH GUILDFORD;TOWN of BASSENDEAN and CITIES of BELMONT and SWAN;42;14,02
2/9/24;Perth Airport;ASCOT, PERTH AIRPORT, REDCLIFFE and SOUTH GUILDFORD;TOWN of BASSENDEAN and CITIES of BELMONT and SWAN;43.04.00;14,02
2/9/24;Redcliffe;ASCOT, PERTH AIRPORT, REDCLIFFE and SOUTH GUILDFORD;TOWN of BASSENDEAN and CITIES of BELMONT and SWAN;42;14,02
2/9/24;South Guildford;ASCOT, PERTH AIRPORT, REDCLIFFE and SOUTH GUILDFORD;TOWN of BASSENDEAN and CITIES of BELMONT and SWAN;43.04.00;14,02
2/9/24;South Perth;ASCOT, PERTH AIRPORT, REDCLIFFE and SOUTH GUILDFORD;TOWN of BASSENDEAN and CITIES of BELMONT and SWAN;42;14,02
2/9/24;Guildford;ASCOT, PERTH AIRPORT, REDCLIFFE and SOUTH GUILDFORD;TOWN of BASSENDEAN and CITIES of BELMONT and SWAN;43.04.00;14,02
2/9/24;Belmont;ASCOT, PERTH AIRPORT, REDCLIFFE and SOUTH GUILDFORD;TOWN of BASSENDEAN and CITIES of BELMONT and SWAN;42;14,02
2/9/24;Ascot;ASCOT, PERTH AIRPORT, REDCLIFFE and SOUTH GUILDFORD;TOWN of BASSENDEAN and CITIES of BELMONT and SWAN;42;14,02
2/9/24;Perth Airport;ASCOT, PERTH AIRPORT, REDCLIFFE and SOUTH GUILDFORD;TOWN of BASSENDEAN and CITIES of BELMONT and SWAN;43.04.00;14,02
