Date;Suburb;Location;Area;Maximum_temperature(C);Evaporation(mm)
12/1/23;Wanneroo;JANDABUP and MARIGINIUP;CITY OF WANNEROO;35;7,06
12/1/23;Mariginiup;JANDABUP and MARIGINIUP;CITY OF WANNEROO;37;14,02
12/1/23;Hamersley;HAMERSLEY RANGE;SHIRE OF ASHBURTON;35;7,06
12/1/23;Wanneroo;JANDABUP and MARIGINIUP;CITY OF WANNEROO;35;7,06
12/1/23;Mariginiup;JANDABUP and MARIGINIUP;CITY OF WANNEROO;37;14,02
12/1/23;Wanneroo;JANDABUP and MARIGINIUP;CITY OF WANNEROO;35;7,06
12/1/23;Mariginiup;JANDABUP and MARIGINIUP;CITY OF WANNEROO;37;14,02
12/1/23;Hamersley;HAMERSLEY RANGE;SHIRE OF ASHBURTON;35;7,06
12/8/23;Hamersley;HAMERSLEY RANGE;SHIRE OF ASHBURTON;24;7,04
12/8/23;Bullsbrook;BULLSBROOK;CITY OF SWAN;27;14,02
12/8/23;Bullsbrook;BULLSBROOK;CITY OF SWAN;27;14,02
12/8/23;Mandogalup;MANDOGALUP and ANKETELL;CITY OF KWINANA;26;14,02
12/8/23;The Spectacles;MANDOGALUP and ANKETELL;CITY OF KWINANA;26;14,02
12/8/23;Anketell;MANDOGALUP and ANKETELL;CITY OF KWINANA;26;14,02
12/8/23;Mandogalup;MANDOGALUP and ANKETELL;CITY OF KWINANA;26;14,02
12/8/23;The Spectacles;MANDOGALUP and ANKETELL;CITY OF KWINANA;26;14,02
12/8/23;Anketell;MANDOGALUP and ANKETELL;CITY OF KWINANA;26;14,02
12/8/23;Mandogalup;POSTANS, MANDOGALUP and ANKETELL;CITY OF KWINANA;26;14,02
12/8/23;The Spectacles;POSTANS, MANDOGALUP and ANKETELL;CITY OF KWINANA;26;14,02
12/8/23;Anketell;POSTANS, MANDOGALUP and ANKETELL;CITY OF KWINANA;26;14,02
12/8/23;Postans;POSTANS, MANDOGALUP and ANKETELL;CITY OF KWINANA;26;7,04
12/8/23;Mandogalup;POSTANS, MANDOGALUP and ANKETELL;CITY OF KWINANA;26;14,02
12/8/23;The Spectacles;POSTANS, MANDOGALUP and ANKETELL;CITY OF KWINANA;26;14,02
12/8/23;Anketell;POSTANS, MANDOGALUP and ANKETELL;CITY OF KWINANA;26;14,02
12/8/23;Postans;POSTANS, MANDOGALUP and ANKETELL;CITY OF KWINANA;26;7,04
12/15/23;Stratton;MIDDLE SWAN and STRATTON;CITY OF SWAN;33;10,08
12/15/23;Middle Swan;MIDDLE SWAN and STRATTON;CITY OF SWAN;33;10,08
