Date;Suburb;Location;Area;Minimum temperature (�C);Maximum temperature (�C);Evaporation (mm);Sunshine (hours);Direction of maximum wind gust;Speed of maximum wind gust (km/h)
12/1/23;Wanneroo;JANDABUP and MARIGINIUP;CITY OF WANNEROO;18.06;35.03.00;7.06;12.06;WSW;33
12/1/23;Mariginiup;JANDABUP and MARIGINIUP;CITY OF WANNEROO;15.03;37;14.02;12.06;ESE;54
12/1/23;Hamersley;HAMERSLEY RANGE;SHIRE OF ASHBURTON;18.06;35.03.00;7.06;12.06;WSW;33
12/1/23;Wanneroo;JANDABUP and MARIGINIUP;CITY OF WANNEROO;18.06;35.03.00;7.06;12.06;WSW;33
12/1/23;Mariginiup;JANDABUP and MARIGINIUP;CITY OF WANNEROO;15.03;37;14.02;12.06;ESE;54
12/1/23;Wanneroo;JANDABUP and MARIGINIUP;CITY OF WANNEROO;18.06;35.03.00;7.06;12.06;WSW;33
12/1/23;Mariginiup;JANDABUP and MARIGINIUP;CITY OF WANNEROO;15.03;37;14.02;12.06;ESE;54
12/1/23;Hamersley;HAMERSLEY RANGE;SHIRE OF ASHBURTON;18.06;35.03.00;7.06;12.06;WSW;33
12/8/23;Hamersley;HAMERSLEY RANGE;SHIRE OF ASHBURTON;15.02;24.07.00;7.04;13;S;50
12/8/23;Bullsbrook;BULLSBROOK;CITY OF SWAN;13.04;27.04.00;14.02;13;SE;52
12/8/23;Bullsbrook;BULLSBROOK;CITY OF SWAN;13.04;27.04.00;14.02;13;SE;52
12/8/23;Mandogalup;MANDOGALUP and ANKETELL;CITY OF KWINANA;3.03;26.00.00;14.02;13;SW;54
12/8/23;The Spectacles;MANDOGALUP and ANKETELL;CITY OF KWINANA;13.03;26.00.00;14.02;13;SW;54
12/8/23;Anketell;MANDOGALUP and ANKETELL;CITY OF KWINANA;13.03;26.00.00;14.02;13;SW;54
12/8/23;Mandogalup;MANDOGALUP and ANKETELL;CITY OF KWINANA;3.03;26.00.00;14.02;13;SW;54
12/8/23;The Spectacles;MANDOGALUP and ANKETELL;CITY OF KWINANA;13.03;26.00.00;14.02;13;SW;54
12/8/23;Anketell;MANDOGALUP and ANKETELL;CITY OF KWINANA;13.03;26.00.00;14.02;13;SW;54
12/8/23;Mandogalup;POSTANS, MANDOGALUP and ANKETELL;CITY OF KWINANA;3.03;26.00.00;14.02;13;SW;54
12/8/23;The Spectacles;POSTANS, MANDOGALUP and ANKETELL;CITY OF KWINANA;13.03;26.00.00;14.02;13;SW;54
12/8/23;Anketell;POSTANS, MANDOGALUP and ANKETELL;CITY OF KWINANA;13.03;26.00.00;14.02;13;SW;54
12/8/23;Postans;POSTANS, MANDOGALUP and ANKETELL;CITY OF KWINANA;13.01;26.01.00;7.04;13;SW;56
12/8/23;Mandogalup;POSTANS, MANDOGALUP and ANKETELL;CITY OF KWINANA;3.03;26.00.00;14.02;13;SW;54
12/8/23;The Spectacles;POSTANS, MANDOGALUP and ANKETELL;CITY OF KWINANA;13.03;26.00.00;14.02;13;SW;54
12/8/23;Anketell;POSTANS, MANDOGALUP and ANKETELL;CITY OF KWINANA;13.03;26.00.00;14.02;13;SW;54
12/8/23;Postans;POSTANS, MANDOGALUP and ANKETELL;CITY OF KWINANA;13.01;26.01.00;7.04;13;SW;56
12/15/23;Stratton;MIDDLE SWAN and STRATTON;CITY OF SWAN;15.06;33.08.00;10.08;12.07;ENE;37
