Date;Suburb;Time;Status;Location;Area;Minimum temperature (�C);Maximum temperature (�C);Rainfall (mm);Evaporation (mm);Sunshine (hours);Direction of maximum wind gust;Speed of maximum wind gust (km/h);Time of maximum wind gust
12/1/23;Wanneroo;10.38.00;ADVICE;JANDABUP and MARIGINIUP;CITY OF WANNEROO;18,06;35.03.00;0;7,06;12,06;WSW;33;16.21
12/1/23;Mariginiup;10.38.00;ADVICE;JANDABUP and MARIGINIUP;CITY OF WANNEROO;15,03;37;0;14,02;12,06;ESE;54;05.57
12/1/23;Hamersley;10.45.00;ADVICE;HAMERSLEY RANGE;SHIRE OF ASHBURTON;18,06;35.03.00;0;7,06;12,06;WSW;33;16.21
12/1/23;Wanneroo;11.51.00;ADVICE;JANDABUP and MARIGINIUP;CITY OF WANNEROO;18,06;35.03.00;0;7,06;12,06;WSW;33;16.21
12/1/23;Mariginiup;11.51.00;ADVICE;JANDABUP and MARIGINIUP;CITY OF WANNEROO;15,03;37;0;14,02;12,06;ESE;54;05.57
12/1/23;Wanneroo;15.55.00;ADVICE;JANDABUP and MARIGINIUP;CITY OF WANNEROO;18,06;35.03.00;0;7,06;12,06;WSW;33;16.21
12/1/23;Mariginiup;15.55.00;ADVICE;JANDABUP and MARIGINIUP;CITY OF WANNEROO;15,03;37;0;14,02;12,06;ESE;54;05.57
12/1/23;Hamersley;16.03.00;ADVICE;HAMERSLEY RANGE;SHIRE OF ASHBURTON;18,06;35.03.00;0;7,06;12,06;WSW;33;16.21
12/8/23;Hamersley;10.52.00;ADVICE;HAMERSLEY RANGE;SHIRE OF ASHBURTON;15,02;24.07.00;0;7,04;13;S;50;16.14
12/8/23;Bullsbrook;16.53.00;ADVICE;BULLSBROOK;CITY OF SWAN;13,04;27.04.00;0;14,02;13;SE;52;22.39
12/8/23;Bullsbrook;22.26.00;ADVICE;BULLSBROOK;CITY OF SWAN;13,04;27.04.00;0;14,02;13;SE;52;22.39
12/8/23;Mandogalup;00.31.00;ADVICE;MANDOGALUP and ANKETELL;CITY OF KWINANA;3,03;26.00.00;0;14,02;13;SW;54;14.15
12/8/23;The Spectacles;00.31.00;ADVICE;MANDOGALUP and ANKETELL;CITY OF KWINANA;13,03;26.00.00;0;14,02;13;SW;54;14.15
12/8/23;Anketell;00.31.00;ADVICE;MANDOGALUP and ANKETELL;CITY OF KWINANA;13,03;26.00.00;0;14,02;13;SW;54;14.15
12/8/23;Mandogalup;01.12.00;ADVICE;MANDOGALUP and ANKETELL;CITY OF KWINANA;3,03;26.00.00;0;14,02;13;SW;54;14.15
12/8/23;The Spectacles;01.12.00;ADVICE;MANDOGALUP and ANKETELL;CITY OF KWINANA;13,03;26.00.00;0;14,02;13;SW;54;14.15
12/8/23;Anketell;01.12.00;ADVICE;MANDOGALUP and ANKETELL;CITY OF KWINANA;13,03;26.00.00;0;14,02;13;SW;54;14.15
12/8/23;Mandogalup;03.28.00;ADVICE;POSTANS, MANDOGALUP and ANKETELL;CITY OF KWINANA;3,03;26.00.00;0;14,02;13;SW;54;14.15
12/8/23;The Spectacles;03.28.00;ADVICE;POSTANS, MANDOGALUP and ANKETELL;CITY OF KWINANA;13,03;26.00.00;0;14,02;13;SW;54;14.15
12/8/23;Anketell;03.28.00;ADVICE;POSTANS, MANDOGALUP and ANKETELL;CITY OF KWINANA;13,03;26.00.00;0;14,02;13;SW;54;14.15
12/8/23;Postans;03.28.00;ADVICE;POSTANS, MANDOGALUP and ANKETELL;CITY OF KWINANA;13,01;26.01.00;0;7,04;13;SW;56;14.54
12/8/23;Mandogalup;05.41.00;ADVICE;POSTANS, MANDOGALUP and ANKETELL;CITY OF KWINANA;3,03;26.00.00;0;14,02;13;SW;54;14.15
12/8/23;The Spectacles;05.41.00;ADVICE;POSTANS, MANDOGALUP and ANKETELL;CITY OF KWINANA;13,03;26.00.00;0;14,02;13;SW;54;14.15
12/8/23;Anketell;05.41.00;ADVICE;POSTANS, MANDOGALUP and ANKETELL;CITY OF KWINANA;13,03;26.00.00;0;14,02;13;SW;54;14.15
12/8/23;Postans;05.41.00;ADVICE;POSTANS, MANDOGALUP and ANKETELL;CITY OF KWINANA;13,01;26.01.00;0;7,04;13;SW;56;14.54
12/15/23;Stratton;08.46.00;ADVICE;MIDDLE SWAN and STRATTON;CITY OF SWAN;15,06;33.08.00;0;10,08;12,07;ENE;37;07.26
12/15/23;Middle Swan;08.46.00;ADVICE;MIDDLE SWAN and STRATTON;CITY OF SWAN;15,06;33.08.00;0;10,08;12,07;ENE;37;07.26
12/15/23;Stratton;10.45.00;ADVICE;MIDDLE SWAN and STRATTON;CITY OF SWAN;15,06;33.08.00;0;10,08;12,07;ENE;37;07.26
12/15/23;Middle Swan;10.45.00;ADVICE;MIDDLE SWAN and STRATTON;CITY OF SWAN;15,06;33.08.00;0;10,08;12,07;ENE;37;07.26
12/15/23;Jindalee;16.46.00;ADVICE;JINDALEE;CITY OF WANNEROO;13,08;32.09.00;0;14,02;12,05;E;70;03.53
12/22/23;The Spectacles;09.01.00;ADVICE;POSTANS and THE SPECTACLES;CITY OF KWINANA;22,07;31.06.00;0;14,02;12,06;ESE;39;00.17
12/22/23;Postans;09.01.00;ADVICE;POSTANS and THE SPECTACLES;CITY OF KWINANA;20;31.08.00;0;12,06;12,06;ENE;37;00.50
12/22/23;Mundaring;12.38.00;ADVICE;PARKERVILLE;SHIRE OF MUNDARING;20,08;33.04.00;0;14,02;12,05;E;63;01.18
12/22/23;Parkerville;12.38.00;ADVICE;PARKERVILLE;SHIRE OF MUNDARING;20,04;36.07.00;0;14,02;12,05;E;89;02.02
12/22/23;The Spectacles;15.09.00;ADVICE;POSTANS and THE SPECTACLES;CITY OF KWINANA;22,07;31.06.00;0;14,02;12,06;ESE;39;00.17
12/22/23;Postans;15.09.00;ADVICE;POSTANS and THE SPECTACLES;CITY OF KWINANA;20;31.08.00;0;12,06;12,06;ENE;37;00.50
12/22/23;Mundaring;15.25.00;ADVICE;PARKERVILLE;SHIRE OF MUNDARING;20,08;33.04.00;0;14,02;12,05;E;63;01.18
12/22/23;Parkerville;15.25.00;ADVICE;PARKERVILLE;SHIRE OF MUNDARING;20,04;36.07.00;0;14,02;12,05;E;89;02.02
12/22/23;Mundaring;19.13.00;ADVICE;PARKERVILLE;SHIRE OF MUNDARING;20,08;33.04.00;0;14,02;12,05;E;63;01.18
12/22/23;Parkerville;19.13.00;ADVICE;PARKERVILLE;SHIRE OF MUNDARING;20,04;36.07.00;0;14,02;12,05;E;89;02.02
12/22/23;Gidgegannup;04.07.00;ADVICE;BAILUP, GIDGEGANNUP and WOOROLOO;CITY OF SWAN and the SHIRE OF MUNDARING;18,05;32.08.00;0;12,06;12,06;W;30;11.31
12/22/23;Wooroloo;04.07.00;ADVICE;BAILUP, GIDGEGANNUP and WOOROLOO;CITY OF SWAN and the SHIRE OF MUNDARING;18,05;32.08.00;0;12,06;12,06;W;30;11.31
12/22/23;Bailup;04.07.00;ADVICE;BAILUP, GIDGEGANNUP and WOOROLOO;CITY OF SWAN and the SHIRE OF MUNDARING;17,01;32.08.00;0;11,01;11,01;W;30;11.31
